CODEST,FECHA,VVMED,VVMAX,RVIENTO,DVMED,TMIN,TMAX,TMED,TMINABS,TMAXABS,HRMIN,HRMAX,HRMED,HRMINABS,HRMAXABS,RADMED,RADMAX,HSOL,PREC,HORAS0,HORAS7,DEWPT,DPV,ETO_PM_FAO,FECHA_2,AÑO,ESTACION
AL41,17/05/2010,1.85,10.39,160.1,163.76,5.482,25.61,15.45,4.779,26.39,23.05,83.1,60.71,21.29,85.7,356.51,1033.0,12.0,0.0,0.0,4.0,6.74,0.89,5.655583496,2010-05-17,2010,PRIMAVERA
AL41,18/05/2010,1.8,7.938,155.75,157.78,7.717,25.54,16.71,7.17,25.98,27.35,86.6,56.29,26.31,89.4,358.68,1023.0,12.0,0.0,0.0,0.0,6.48,1.06,5.602913927,2010-05-18,2010,PRIMAVERA
AL41,19/05/2010,2.38,10.0,205.21,166.43,7.315,27.5,17.93,6.427,28.16,21.0,83.7,50.9,18.72,86.0,353.86,1023.0,12.0,0.0,0.0,0.0,5.66,1.3,6.371549574,2010-05-19,2010,PRIMAVERA
AL41,20/05/2010,1.86,9.51,160.6,138.34,11.62,23.86,17.74,10.9,24.53,28.37,92.4,57.79,26.35,93.3,334.26,1224.0,12.0,0.0,0.0,0.0,8.02,1.02,5.283734732,2010-05-20,2010,PRIMAVERA
AL41,21/05/2010,2.27,9.31,196.55,79.51,7.818,26.74,17.75,6.798,27.33,18.15,81.3,47.32,16.97,85.8,359.62,1023.0,12.0,0.0,0.0,0.0,4.45,1.34,6.322541858,2010-05-21,2010,PRIMAVERA
AL41,22/05/2010,2.54,10.68,219.29,102.32,11.88,26.43,19.32,11.07,27.09,27.87,66.11,43.86,26.88,68.96,350.9,1028.0,12.0,0.0,0.0,0.0,6.02,1.4,6.38924925,2010-05-22,2010,PRIMAVERA
AL41,23/05/2010,2.13,9.51,184.4,164.46,10.28,25.72,18.42,9.72,26.49,25.97,75.33,50.4,24.09,78.1,321.82,1103.0,12.0,0.0,0.0,0.0,6.8,1.22,5.713656722,2010-05-23,2010,PRIMAVERA
AL41,24/05/2010,2.38,8.92,205.95,181.55,13.82,25.59,19.66,13.35,26.05,24.15,82.6,50.86,22.36,83.9,332.65,998.0,11.0,0.0,0.0,0.0,7.43,1.31,6.010608023,2010-05-24,2010,PRIMAVERA
AL41,25/05/2010,2.16,10.0,186.75,155.58,8.96,28.09,19.0,8.42,29.06,17.37,80.4,54.99,15.71,83.1,321.77,1028.0,12.0,0.0,0.0,0.0,8.13,1.24,6.201047504,2010-05-25,2010,PRIMAVERA
AL41,26/05/2010,2.07,11.86,179.18,167.21,11.44,30.45,21.12,11.21,31.24,21.11,84.2,50.9,19.49,85.5,342.09,1008.0,12.0,0.0,0.0,0.0,8.82,1.54,6.59224414,2010-05-26,2010,PRIMAVERA
AL41,27/05/2010,2.75,10.09,237.63,90.38,13.11,27.67,20.58,12.52,28.33,28.97,88.0,58.67,26.68,89.7,288.67,1105.0,10.0,0.0,0.0,0.0,11.27,1.17,5.932974018,2010-05-27,2010,PRIMAVERA
AL41,28/05/2010,1.35,8.62,116.85,324.75,12.86,25.27,17.67,11.91,26.52,38.66,92.7,70.31,35.45,93.1,162.94,1260.0,8.0,7.1,0.0,0.0,11.68,0.7,3.402921972,2010-05-28,2010,PRIMAVERA
AL41,29/05/2010,2.29,9.9,198.01,164.78,11.38,24.85,18.75,10.57,25.47,44.51,94.1,70.34,40.04,94.6,358.32,1208.0,12.0,0.0,0.0,0.0,12.6,0.78,5.499654361,2010-05-29,2010,PRIMAVERA
AL41,30/05/2010,2.28,10.49,197.32,154.31,12.51,31.69,22.52,11.88,32.46,21.7,92.4,54.19,19.52,93.3,358.68,1028.0,12.0,0.0,0.0,0.0,10.78,1.62,7.063818937,2010-05-30,2010,PRIMAVERA
AL41,31/05/2010,2.35,9.9,202.68,99.23,15.39,35.99,26.42,14.23,36.56,16.45,76.26,41.47,14.83,82.4,362.35,1039.0,12.0,0.0,0.0,0.0,10.1,2.47,8.150553781,2010-05-31,2010,PRIMAVERA
AL41,01/06/2010,2.35,9.21,202.82,138.43,16.73,33.96,26.48,16.08,34.61,24.91,75.68,44.78,22.49,77.58,348.74,1054.0,12.0,0.0,0.0,0.0,12.17,2.22,7.493117921,2010-06-01,2010,PRIMAVERA
AL41,02/06/2010,2.16,9.31,186.66,108.81,17.08,30.02,23.97,16.55,30.55,30.58,78.13,53.29,29.64,80.6,244.5,1188.0,11.0,0.0,0.0,0.0,13.1,1.55,5.594703309,2010-06-02,2010,PRIMAVERA
AL41,03/06/2010,2.53,11.66,218.8,136.86,17.01,28.58,22.86,16.72,29.17,34.62,88.9,59.44,32.62,90.8,326.08,1008.0,12.0,4.7,0.0,0.0,13.89,1.26,6.24161274,2010-06-03,2010,PRIMAVERA
AL41,04/06/2010,2.25,8.43,194.12,121.58,16.88,30.06,23.75,16.52,30.61,43.62,91.7,68.22,40.16,93.0,338.59,992.0,12.0,0.1,0.0,0.0,16.96,1.1,6.197471699,2010-06-04,2010,PRIMAVERA
AL41,05/06/2010,2.03,9.02,175.0,123.31,16.94,30.82,23.45,16.48,31.45,29.26,92.9,60.93,28.39,93.4,346.25,1059.0,12.0,0.0,0.0,0.0,14.03,1.39,6.568328476,2010-06-05,2010,PRIMAVERA
AL41,06/06/2010,2.45,9.7,211.4,135.74,14.74,30.86,23.32,13.87,31.52,20.94,85.8,55.72,19.59,87.7,362.03,1080.0,12.0,0.0,0.0,0.0,12.19,1.57,7.216525244,2010-06-06,2010,PRIMAVERA
AL41,07/06/2010,2.23,8.62,192.64,158.37,17.02,27.86,22.7,15.84,28.9,42.42,86.9,64.25,38.31,88.7,350.63,1059.0,12.0,0.0,0.0,0.0,15.15,1.09,6.128540315,2010-06-07,2010,PRIMAVERA
AL41,08/06/2010,2.8,11.47,242.09,163.42,15.23,28.79,22.46,15.07,29.48,41.52,90.1,69.12,35.04,91.3,355.87,1044.0,12.0,0.0,0.0,0.0,15.98,0.99,6.439762344,2010-06-08,2010,PRIMAVERA
AL41,09/06/2010,2.38,9.02,205.45,120.58,18.74,27.3,23.46,18.23,27.79,40.12,82.4,56.2,37.31,84.8,208.84,1265.0,12.0,0.0,0.0,0.0,13.66,1.35,4.80037532,2010-06-09,2010,PRIMAVERA
AL41,10/06/2010,3.71,11.86,320.4,196.86,15.11,27.13,22.89,14.63,27.89,20.82,65.55,38.82,18.35,68.54,362.92,1105.0,12.0,0.0,0.0,0.0,7.44,1.8,7.614896932,2010-06-10,2010,PRIMAVERA
AL41,11/06/2010,2.11,7.938,182.22,10.0,13.8,27.31,21.71,13.16,28.09,20.02,65.18,37.29,19.02,68.82,326.33,1419.0,12.0,0.0,0.0,0.0,5.2,1.79,6.291713777,2010-06-11,2010,PRIMAVERA
AL41,12/06/2010,2.83,11.56,244.53,149.4,12.21,25.97,19.78,11.28,26.52,27.25,68.84,47.47,26.04,73.67,329.73,1039.0,10.0,0.0,0.0,0.0,7.44,1.34,6.360887796,2010-06-12,2010,PRIMAVERA
AL41,13/06/2010,2.08,8.82,179.78,123.44,14.97,24.91,20.25,14.23,25.88,37.19,80.2,56.82,35.45,82.2,245.65,1177.0,12.0,0.0,0.0,0.0,10.94,1.11,4.790892315,2010-06-13,2010,PRIMAVERA
AL41,14/06/2010,1.49,7.742,128.47,105.77,14.42,23.63,18.1,14.1,24.06,50.79,93.0,77.84,44.7,93.5,192.8,1409.0,9.0,10.8,0.0,0.0,13.91,0.51,3.481939379,2010-06-14,2010,PRIMAVERA
AL41,15/06/2010,1.46,13.13,125.81,75.42,13.39,22.76,17.12,12.72,23.96,56.32,94.9,85.38,51.14,95.0,211.4,1357.0,10.0,20.3,0.0,0.0,14.46,0.33,3.466149143,2010-06-15,2010,PRIMAVERA
AL41,16/06/2010,1.6,7.546,138.23,166.42,14.05,23.61,17.36,13.76,24.06,42.64,94.3,76.18,38.22,94.5,255.07,1121.0,8.0,2.1,0.0,0.0,12.58,0.56,4.24231566,2010-06-16,2010,PRIMAVERA
AL41,17/06/2010,2.38,9.02,205.47,152.32,11.42,26.19,19.52,10.67,26.62,32.89,93.7,63.51,30.49,94.3,369.35,1090.0,12.0,0.0,0.0,0.0,11.13,1.03,6.110176383,2010-06-17,2010,PRIMAVERA
AL41,18/06/2010,2.79,12.05,241.15,167.69,14.74,25.8,20.2,14.4,26.32,45.31,93.0,69.93,43.11,93.6,345.74,1028.0,12.0,0.0,0.0,0.0,13.97,0.83,5.74778193,2010-06-18,2010,PRIMAVERA
