CODEST,FECHA,VVMED,VVMAX,RVIENTO,DVMED,TMIN,TMAX,TMED,TMINABS,TMAXABS,HRMIN,HRMAX,HRMED,HRMINABS,HRMAXABS,RADMED,RADMAX,HSOL,PREC,HORAS0,HORAS7,DEWPT,DPV,ETO_PM_FAO,FECHA_2,AÑO,ESTACION
AL41,17/05/2012,2.5,9.6,216.4,149.25,14.0,25.94,19.49,13.76,26.79,32.6,84.5,62.55,30.39,85.6,320.3,1059.0,12.0,0.0,0.0,0.0,11.36,0.97,5.770040126,2012-05-17,2012,PRIMAVERA
AL41,18/05/2012,2.68,9.31,231.55,162.76,15.73,24.24,19.03,15.17,24.9,42.12,86.7,69.82,39.53,88.2,216.4,1126.0,12.0,0.0,0.0,0.0,13.06,0.73,4.470911035,2012-05-18,2012,PRIMAVERA
AL41,19/05/2012,2.93,11.76,253.58,161.42,14.05,24.75,19.93,13.32,25.24,30.18,88.6,58.44,26.14,90.5,308.76,1080.0,12.0,0.0,0.0,0.0,10.48,1.09,5.714188667,2012-05-19,2012,PRIMAVERA
AL41,20/05/2012,2.8,11.86,242.17,277.38,13.6,22.59,18.32,11.91,23.79,21.08,52.08,33.15,17.03,57.44,248.4,1365.0,11.0,0.1,0.0,0.0,1.34,1.45,5.614043967,2012-05-20,2012,PRIMAVERA
AL41,21/05/2012,3.01,10.49,260.13,259.0,12.31,24.5,18.85,11.5,25.1,16.02,48.81,31.28,14.57,51.11,347.37,1368.0,12.0,0.0,0.0,0.0,0.45,1.61,6.863747723,2012-05-21,2012,PRIMAVERA
AL41,22/05/2012,3.56,11.47,307.94,164.4,14.18,27.1,20.76,13.22,27.79,16.4,55.22,30.52,14.57,57.77,367.3,1049.0,12.0,0.0,0.0,0.0,1.77,1.83,7.82811336,2012-05-22,2012,PRIMAVERA
AL41,23/05/2012,2.62,10.39,225.95,154.21,12.18,29.73,21.52,11.21,30.5,17.83,57.63,35.8,16.52,62.84,362.95,1044.0,12.0,0.0,0.0,0.0,4.69,1.85,7.39787329,2012-05-23,2012,PRIMAVERA
AL41,24/05/2012,2.53,10.49,218.26,166.54,8.87,29.0,20.25,8.44,29.77,16.7,93.9,47.29,14.81,94.2,361.66,1033.0,12.0,0.0,0.0,0.0,5.71,1.61,6.866416704,2012-05-24,2012,PRIMAVERA
AL41,25/05/2012,2.41,10.39,208.37,166.72,10.15,29.05,20.19,8.95,29.6,23.37,71.25,48.39,19.39,77.08,332.29,1028.0,11.0,0.0,0.0,0.0,7.98,1.44,6.573371844,2012-05-25,2012,PRIMAVERA
AL41,26/05/2012,2.56,10.68,221.38,158.89,12.04,28.83,21.19,11.33,29.8,28.45,84.6,52.62,25.19,87.3,351.13,1023.0,12.0,0.0,0.0,0.0,9.92,1.44,6.595016114,2012-05-26,2012,PRIMAVERA
AL41,27/05/2012,2.83,10.0,244.73,136.9,13.48,27.93,21.69,12.14,28.63,24.53,74.04,49.88,21.59,78.62,344.38,997.0,12.0,0.0,0.0,0.0,9.83,1.49,6.802290752,2012-05-27,2012,PRIMAVERA
AL41,28/05/2012,2.74,10.09,236.55,122.27,14.56,28.25,21.38,14.06,28.73,28.46,84.7,57.43,26.84,86.3,330.57,1033.0,12.0,0.0,0.0,0.0,11.41,1.27,6.486836456,2012-05-28,2012,PRIMAVERA
AL41,29/05/2012,2.46,9.02,212.86,170.24,12.36,27.33,20.87,11.24,28.03,29.18,77.72,51.75,27.15,81.3,317.42,1069.0,12.0,0.0,0.0,0.0,9.69,1.37,6.072863064,2012-05-29,2012,PRIMAVERA
AL41,30/05/2012,2.72,10.39,235.12,118.4,13.72,31.05,22.67,13.24,31.61,17.26,74.13,44.69,15.34,77.97,310.61,1080.0,12.0,0.0,0.0,0.0,8.52,1.76,7.186502294,2012-05-30,2012,PRIMAVERA
AL41,31/05/2012,2.39,7.644,206.59,46.97,17.42,30.57,23.4,16.68,31.22,14.25,61.11,35.75,13.49,65.19,245.68,1121.0,12.0,0.0,0.0,0.0,5.64,2.05,6.557720933,2012-05-31,2012,PRIMAVERA
AL41,01/06/2012,2.94,11.17,254.0,84.98,16.6,32.21,24.52,15.85,32.9,14.17,46.02,28.85,13.22,50.85,357.05,1013.0,12.0,0.0,0.0,0.0,3.76,2.44,8.458530005,2012-06-01,2012,PRIMAVERA
AL41,02/06/2012,2.71,9.9,234.02,167.75,13.97,33.13,24.38,12.92,33.67,14.01,52.13,29.28,13.15,58.05,341.64,1033.0,12.0,0.0,0.0,0.0,3.8,2.46,8.090931811,2012-06-02,2012,PRIMAVERA
AL41,03/06/2012,2.77,10.68,238.99,122.01,17.74,30.86,24.97,17.02,31.52,26.58,48.52,34.98,25.12,52.48,309.65,1167.0,12.0,0.0,0.0,0.0,8.18,2.17,7.297237251,2012-06-03,2012,PRIMAVERA
AL41,04/06/2012,2.59,10.49,223.58,160.12,14.1,30.3,22.31,12.99,31.35,34.85,81.0,58.16,32.24,83.1,336.09,1023.0,12.0,0.0,0.0,0.0,13.25,1.26,6.633331349,2012-06-04,2012,PRIMAVERA
AL41,05/06/2012,2.54,10.49,219.29,155.31,14.17,29.79,22.0,13.29,30.68,34.1,90.3,66.75,30.58,91.8,330.66,1008.0,11.0,0.0,0.0,0.0,14.8,1.06,6.399483973,2012-06-05,2012,PRIMAVERA
AL41,06/06/2012,2.95,11.86,254.69,159.41,13.48,32.4,24.11,12.72,33.53,22.09,92.7,54.04,18.88,93.2,362.09,1028.0,12.0,0.0,0.0,0.0,11.97,1.82,7.71174422,2012-06-06,2012,PRIMAVERA
AL41,07/06/2012,2.11,10.68,182.17,157.37,16.44,33.28,24.68,15.74,34.28,24.5,84.8,55.5,22.69,86.7,307.66,1018.0,12.0,0.0,0.0,0.0,14.02,1.65,6.738776333,2012-06-07,2012,PRIMAVERA
AL41,08/06/2012,3.86,10.29,333.1,88.84,20.66,31.75,26.78,20.04,32.45,24.45,69.87,36.58,22.12,77.49,325.94,1136.0,13.0,0.0,0.0,0.0,10.03,2.33,8.252260961,2012-06-08,2012,PRIMAVERA
AL41,09/06/2012,3.24,10.78,280.17,143.51,18.56,28.17,23.5,17.93,28.9,36.93,75.29,54.53,32.68,77.31,297.6,1131.0,12.0,0.0,0.0,0.0,13.53,1.37,6.440703386,2012-06-09,2012,PRIMAVERA
AL41,10/06/2012,3.24,13.82,279.8,162.45,14.34,31.14,24.15,13.8,31.83,19.77,81.1,45.85,16.69,84.7,362.04,1015.0,12.0,0.0,0.0,0.0,9.95,1.94,7.881314052,2012-06-10,2012,PRIMAVERA
AL41,11/06/2012,3.48,13.43,300.72,188.86,20.63,35.48,28.27,19.74,35.96,10.5,57.38,31.78,9.98,60.31,364.09,1044.0,13.0,0.0,0.0,0.0,8.37,2.81,9.784013193,2012-06-11,2012,PRIMAVERA
AL41,12/06/2012,4.68,13.13,403.99,73.19,16.8,28.07,23.47,15.67,28.7,17.93,76.16,34.18,16.22,82.2,370.05,1033.0,12.0,0.0,0.0,0.0,5.56,1.98,8.369902573,2012-06-12,2012,PRIMAVERA
AL41,13/06/2012,2.75,10.98,237.95,105.83,10.67,27.5,20.51,9.99,28.16,25.82,78.57,51.21,23.17,85.1,364.09,1039.0,12.0,0.0,0.0,0.0,8.71,1.41,6.738449653,2012-06-13,2012,PRIMAVERA
AL41,14/06/2012,2.91,10.0,251.47,110.35,14.68,28.17,22.13,13.56,29.11,23.71,78.35,48.82,22.16,82.4,344.32,1260.0,12.0,0.0,0.0,0.0,9.35,1.57,6.934263677,2012-06-14,2012,PRIMAVERA
AL41,15/06/2012,2.34,10.29,201.92,165.24,13.78,29.43,22.18,12.18,29.9,24.98,71.54,47.21,20.97,75.79,361.78,1018.0,12.0,0.0,0.0,0.0,9.5,1.61,6.936196103,2012-06-15,2012,PRIMAVERA
AL41,16/06/2012,2.3,9.31,198.47,172.39,14.22,28.92,22.54,13.25,29.74,30.84,72.1,53.91,26.95,75.88,358.9,1013.0,12.0,0.0,0.0,0.0,12.09,1.43,6.688287163,2012-06-16,2012,PRIMAVERA
AL41,17/06/2012,2.92,13.43,252.46,126.03,15.11,29.91,23.22,14.16,30.51,39.15,81.0,59.19,37.33,84.6,354.11,1005.0,12.0,0.0,0.0,0.0,14.18,1.33,6.832034186,2012-06-17,2012,PRIMAVERA
AL41,18/06/2012,2.76,9.51,238.57,102.94,17.17,29.29,23.66,16.31,30.34,32.47,88.4,62.33,29.2,89.9,267.78,1283.0,12.0,0.2,0.0,0.0,15.21,1.25,5.949915104,2012-06-18,2012,PRIMAVERA
AL41,19/06/2012,2.78,9.31,240.49,109.48,20.47,31.1,24.66,20.28,31.75,35.9,89.0,67.45,33.04,89.8,301.38,956.0,12.0,1.6,0.0,0.0,17.59,1.16,6.548473243,2012-06-19,2012,PRIMAVERA
AL41,20/06/2012,2.83,10.49,244.37,155.5,18.71,29.86,24.11,17.72,30.58,35.46,87.0,64.52,33.86,88.9,350.84,1008.0,12.0,0.0,0.0,0.0,16.21,1.23,6.898111461,2012-06-20,2012,PRIMAVERA
AL41,21/06/2012,2.6,10.58,224.5,144.28,15.76,34.97,25.75,14.8,35.66,12.33,85.1,45.38,11.13,86.8,368.73,1039.0,13.0,0.0,0.0,0.0,9.87,2.28,8.387645674,2012-06-21,2012,VERANO
AL41,22/06/2012,3.68,12.84,318.2,94.82,18.06,33.4,26.65,17.15,34.31,18.45,73.28,41.79,17.43,74.28,356.45,1010.0,12.0,0.0,0.0,0.0,11.48,2.22,8.834608081,2012-06-22,2012,VERANO
AL41,23/06/2012,3.28,11.66,283.46,110.92,18.2,30.84,24.94,16.52,31.56,34.49,87.1,60.81,30.72,89.1,348.7,992.0,12.0,0.0,0.0,0.0,16.0,1.42,7.251994201,2012-06-23,2012,VERANO
AL41,24/06/2012,2.67,9.6,230.31,124.64,16.82,33.75,25.96,16.21,34.41,22.53,81.5,46.99,21.85,83.9,345.83,982.0,12.0,0.0,0.0,0.0,11.99,2.08,7.748008363,2012-06-24,2012,VERANO
AL41,25/06/2012,2.3,8.92,198.73,146.0,15.3,34.18,25.79,14.7,34.85,19.33,59.72,38.02,18.37,65.14,347.24,1021.0,12.0,0.0,0.0,0.0,9.17,2.35,7.718047971,2012-06-25,2012,VERANO
AL41,26/06/2012,2.08,8.82,179.94,117.4,15.58,34.65,26.16,14.6,35.46,18.25,62.25,40.79,17.4,65.02,306.84,1144.0,12.0,0.0,0.0,0.0,10.39,2.35,7.16111054,2012-06-26,2012,VERANO
AL41,27/06/2012,2.21,8.62,190.66,138.67,21.26,34.92,27.74,20.85,35.66,24.87,67.99,48.1,22.05,70.3,285.14,1095.0,11.0,0.0,0.0,0.0,14.81,2.17,7.068940979,2012-06-27,2012,VERANO
AL41,28/06/2012,2.75,10.88,237.57,163.37,20.05,38.65,28.96,19.01,39.59,15.1,71.34,45.68,11.46,74.49,333.86,977.0,12.0,0.0,0.0,0.0,14.08,2.61,9.018022026,2012-06-28,2012,VERANO
AL41,29/06/2012,2.65,13.03,228.79,159.57,17.73,37.63,28.21,16.72,38.99,16.04,72.46,42.37,13.28,79.78,333.68,982.0,12.0,0.0,0.0,0.0,12.29,2.68,8.578945416,2012-06-29,2012,VERANO
AL41,30/06/2012,2.58,10.49,222.66,152.61,18.2,34.95,26.5,17.33,36.06,14.0,60.53,40.71,13.18,65.81,338.12,967.0,12.0,0.0,0.0,0.0,10.74,2.32,8.293516423,2012-06-30,2012,VERANO
AL41,01/07/2012,3.14,11.86,271.41,20.76,20.44,32.16,26.39,18.43,32.79,11.54,68.79,26.59,10.49,71.28,362.93,1028.0,13.0,0.0,0.0,0.0,4.02,2.67,8.6047889,2012-07-01,2012,VERANO
AL41,02/07/2012,3.0,10.0,259.61,112.6,17.81,30.01,24.1,16.89,30.68,30.97,83.0,57.93,29.41,86.7,332.1,1039.0,12.0,0.0,0.0,0.0,14.43,1.42,6.967040616,2012-07-02,2012,VERANO
AL41,03/07/2012,2.16,8.43,186.8,149.9,14.24,30.91,22.84,13.16,31.72,26.55,79.97,58.02,24.45,84.1,296.55,995.0,12.0,0.0,0.0,0.0,13.13,1.39,6.277572524,2012-07-03,2012,VERANO
AL41,04/07/2012,2.98,11.17,257.24,153.71,14.4,28.58,22.73,13.29,29.21,38.73,82.8,59.21,29.04,84.9,350.48,992.0,12.0,0.0,0.0,0.0,13.69,1.29,6.571005564,2012-07-04,2012,VERANO
AL41,05/07/2012,2.54,11.37,219.78,154.49,13.92,33.03,24.86,12.96,33.9,23.24,83.4,49.68,19.59,86.2,353.66,992.0,13.0,0.0,0.0,0.0,11.61,1.98,7.479333228,2012-07-05,2012,VERANO
AL41,06/07/2012,2.95,11.47,254.47,164.14,16.61,30.28,24.29,15.92,31.39,38.95,84.0,62.0,31.5,86.2,350.06,1023.0,12.0,0.0,0.0,0.0,16.01,1.3,6.856013873,2012-07-06,2012,VERANO
AL41,07/07/2012,2.59,9.21,223.96,157.77,18.16,31.46,24.58,16.65,32.25,38.43,86.9,66.6,34.63,88.5,319.66,1213.0,12.0,0.0,0.0,0.0,17.32,1.2,6.561875878,2012-07-07,2012,VERANO
AL41,08/07/2012,2.73,12.15,235.84,162.72,19.62,35.72,26.73,19.14,37.03,20.61,87.7,57.3,17.16,89.5,337.42,977.0,12.0,0.0,0.0,0.0,15.87,1.83,8.133714764,2012-07-08,2012,VERANO
AL41,09/07/2012,2.85,11.37,246.63,157.52,18.75,31.18,25.7,18.19,31.82,36.66,83.7,62.6,34.97,86.0,336.73,1003.0,12.0,0.0,0.0,0.0,17.36,1.41,6.93684491,2012-07-09,2012,VERANO
AL41,10/07/2012,2.77,11.07,239.72,164.85,18.05,33.63,26.43,17.46,34.44,21.76,88.8,56.65,18.34,89.8,338.37,982.0,12.0,0.0,0.0,0.0,15.1,1.87,7.656825988,2012-07-10,2012,VERANO
AL41,11/07/2012,2.8,11.07,242.34,161.61,18.28,33.74,25.93,17.53,34.61,28.77,88.0,56.28,25.52,89.3,342.5,985.0,12.0,0.0,0.0,0.0,15.37,1.72,7.561029596,2012-07-11,2012,VERANO
AL41,12/07/2012,2.87,10.88,248.05,157.22,15.31,31.75,25.48,13.99,32.49,37.59,82.7,58.81,33.79,87.7,345.29,1059.0,12.0,0.0,0.0,0.0,16.1,1.54,6.989329771,2012-07-12,2012,VERANO
AL41,13/07/2012,2.58,9.51,222.68,163.78,17.96,33.82,26.15,17.49,34.51,29.73,86.4,53.8,25.86,88.7,333.1,972.0,12.0,0.0,0.0,0.0,14.79,1.84,7.286228749,2012-07-13,2012,VERANO
AL41,14/07/2012,3.59,14.41,310.31,99.41,20.72,37.32,28.03,19.88,38.51,13.44,66.61,48.98,11.66,69.71,311.81,992.0,12.0,0.0,0.0,0.0,14.87,2.2,9.660404471,2012-07-14,2012,VERANO
AL41,15/07/2012,3.76,10.98,325.03,89.98,23.65,30.97,26.36,23.31,31.59,40.75,83.6,63.08,38.78,84.4,231.62,1244.0,11.0,0.0,0.0,0.0,18.35,1.35,6.246412638,2012-07-15,2012,VERANO
AL41,16/07/2012,3.05,10.09,263.31,54.46,21.34,29.43,24.82,20.14,30.35,42.57,77.92,61.62,39.83,78.37,179.59,1275.0,12.0,0.0,0.0,0.0,16.68,1.26,5.134491938,2012-07-16,2012,VERANO
AL41,17/07/2012,2.84,10.88,245.26,117.45,17.66,31.01,24.54,17.12,31.49,26.37,79.44,50.62,23.87,81.1,349.71,987.0,13.0,0.0,0.0,0.0,12.35,1.75,7.341299169,2012-07-17,2012,VERANO
AL41,18/07/2012,2.0,10.0,172.93,162.89,13.1,34.09,24.66,11.95,35.08,13.71,68.74,36.14,12.64,73.5,356.96,1026.0,12.0,0.0,0.0,0.0,6.04,2.43,7.413362573,2012-07-18,2012,VERANO
AL41,19/07/2012,2.37,10.0,204.58,166.78,13.94,34.49,25.08,12.92,35.25,14.1,61.69,34.87,13.59,66.76,356.23,1028.0,12.0,0.0,0.0,0.0,7.02,2.4,7.937512103,2012-07-19,2012,VERANO
AL41,20/07/2012,2.43,10.78,209.78,161.96,15.49,32.39,24.79,15.11,32.93,34.9,75.04,55.09,32.57,81.0,341.75,992.0,12.0,0.0,0.0,0.0,14.55,1.61,6.932559013,2012-07-20,2012,VERANO
AL41,21/07/2012,3.08,10.98,266.32,115.93,16.78,32.01,25.43,15.98,32.83,39.09,80.5,60.99,36.18,85.2,336.59,992.0,12.0,0.0,0.0,0.0,16.82,1.44,7.042081858,2012-07-21,2012,VERANO
AL41,22/07/2012,2.53,9.9,218.16,159.02,23.04,30.38,25.72,22.3,31.07,42.11,76.02,62.75,38.64,77.76,310.99,1203.0,11.0,0.0,0.0,0.0,17.82,1.3,6.487480406,2012-07-22,2012,VERANO
AL41,23/07/2012,2.82,8.72,243.9,153.9,21.06,27.69,24.37,20.11,28.53,41.42,80.6,58.82,39.36,81.8,221.28,1311.0,12.0,0.0,0.0,0.0,15.43,1.31,5.19917003,2012-07-23,2012,VERANO
AL41,24/07/2012,2.42,9.8,209.01,126.09,17.27,29.55,23.95,16.79,30.51,28.37,77.01,50.12,25.13,78.7,338.62,1018.0,12.0,0.0,0.0,0.0,11.9,1.65,6.663451097,2012-07-24,2012,VERANO
AL41,25/07/2012,2.88,10.09,249.24,63.28,17.58,32.49,25.38,16.75,33.1,24.38,67.88,44.37,21.92,70.29,318.43,964.0,12.0,0.0,0.0,0.0,11.23,2.03,7.4681915,2012-07-25,2012,VERANO
AL41,26/07/2012,4.2,11.27,363.14,50.29,23.92,31.6,27.07,23.71,32.76,35.62,73.66,48.53,34.99,74.88,297.37,992.0,12.0,0.0,0.0,0.0,14.87,1.89,7.710083904,2012-07-26,2012,VERANO
AL41,27/07/2012,2.54,10.98,219.06,151.49,21.64,32.04,26.7,21.29,32.86,43.0,80.6,60.38,40.56,82.2,313.32,956.0,12.0,0.0,0.0,0.0,17.92,1.51,6.544604768,2012-07-27,2012,VERANO
AL41,28/07/2012,2.61,12.64,225.65,158.37,20.58,32.91,26.36,19.98,33.87,35.18,80.4,55.56,32.07,81.5,327.0,967.0,12.0,0.0,0.0,0.0,16.01,1.71,7.032770566,2012-07-28,2012,VERANO
AL41,29/07/2012,2.91,11.07,251.65,134.85,18.39,31.85,25.69,17.46,32.36,34.47,83.3,59.63,31.76,86.2,334.32,1095.0,12.0,0.0,0.0,0.0,16.44,1.52,7.021443671,2012-07-29,2012,VERANO
AL41,30/07/2012,2.4,9.51,207.47,162.63,17.24,31.55,25.17,16.62,32.15,42.47,79.86,60.2,38.64,84.0,320.05,956.0,12.0,0.0,0.0,0.0,16.49,1.43,6.327372001,2012-07-30,2012,VERANO
AL41,31/07/2012,2.25,9.31,194.19,160.74,20.69,34.44,27.01,19.84,35.25,32.79,82.9,59.48,30.18,85.7,317.45,936.0,12.0,0.0,0.0,0.0,17.7,1.65,6.914330027,2012-07-31,2012,VERANO
AL41,01/08/2012,2.16,8.23,187.05,167.95,20.93,33.11,27.13,20.28,33.97,40.75,86.6,62.07,38.0,88.0,261.16,1034.0,12.0,0.0,0.0,0.0,18.57,1.56,5.782409705,2012-08-01,2012,VERANO
AL41,02/08/2012,2.88,10.09,248.44,125.19,19.38,32.64,26.56,18.73,33.6,43.26,76.65,60.76,40.59,79.4,268.57,884.0,11.0,0.0,0.0,0.0,18.0,1.52,6.244063538,2012-08-02,2012,VERANO
AL41,03/08/2012,2.23,9.51,192.66,165.14,18.7,31.33,25.61,17.9,32.02,50.21,83.4,67.54,48.11,85.8,298.38,1018.0,12.0,0.0,0.0,0.0,18.83,1.2,5.779052625,2012-08-03,2012,VERANO
AL41,04/08/2012,2.59,10.19,223.83,164.43,19.3,31.33,25.52,18.33,31.92,42.59,83.3,67.07,38.0,85.0,310.04,933.0,11.0,0.0,0.0,0.0,18.46,1.23,6.282773491,2012-08-04,2012,VERANO
AL41,05/08/2012,2.71,12.15,234.46,159.27,18.26,33.76,26.36,17.02,34.61,24.22,89.2,57.19,18.48,90.8,330.93,987.0,12.0,0.0,0.0,0.0,15.68,1.78,7.348655675,2012-08-05,2012,VERANO
AL41,06/08/2012,3.0,12.45,259.57,146.75,21.33,32.95,26.81,20.75,33.8,19.09,71.75,46.7,15.0,73.98,325.57,1008.0,12.0,0.0,0.0,0.0,13.13,2.04,7.861082715,2012-08-06,2012,VERANO
AL41,07/08/2012,3.67,12.94,316.95,45.52,22.27,31.91,26.22,22.07,32.54,32.69,79.94,59.14,30.08,82.0,254.3,1105.0,12.0,0.0,0.0,0.0,17.1,1.5,6.892090888,2012-08-07,2012,VERANO
AL41,08/08/2012,2.31,10.68,199.7,81.02,19.32,33.34,26.17,18.98,34.07,28.58,71.05,50.0,27.28,72.62,283.67,1064.0,12.0,0.0,0.0,0.0,14.24,1.86,6.581124129,2012-08-08,2012,VERANO
AL41,09/08/2012,2.19,8.92,188.79,153.54,21.75,35.29,28.07,21.36,35.96,28.3,72.0,53.34,27.34,75.06,285.16,915.0,11.0,0.0,0.0,0.0,16.92,1.98,6.800961793,2012-08-09,2012,VERANO
AL41,10/08/2012,2.29,20.78,198.16,150.66,21.05,42.97,29.75,19.84,44.14,10.99,81.9,54.38,7.315,84.5,261.88,998.0,12.0,0.0,0.0,0.0,17.43,2.4,8.438127651,2012-08-10,2012,VERANO
AL41,11/08/2012,2.04,11.07,175.98,163.51,20.85,42.1,30.87,20.24,42.62,8.88,73.45,42.67,8.23,77.13,258.4,1018.0,12.0,0.0,0.0,0.0,14.4,3.04,7.744469975,2012-08-11,2012,VERANO
AL41,12/08/2012,2.33,12.94,201.54,123.96,18.16,41.41,29.37,17.26,42.42,9.1,75.95,45.59,6.607,80.5,244.38,1136.0,12.0,0.0,0.0,0.0,12.86,2.85,7.98605614,2012-08-12,2012,VERANO
AL41,13/08/2012,2.51,10.78,217.08,153.18,22.53,31.61,26.62,21.86,32.23,44.89,84.2,67.2,42.9,86.0,275.08,1190.0,12.0,0.0,0.0,0.0,19.65,1.24,5.870966162,2012-08-13,2012,VERANO
AL41,14/08/2012,2.59,9.8,223.68,160.77,19.62,32.94,26.26,18.09,34.17,37.15,87.0,61.63,30.92,88.6,310.9,946.0,12.0,0.0,0.0,0.0,17.36,1.53,6.555096073,2012-08-14,2012,VERANO
AL41,15/08/2012,2.29,10.19,197.65,155.39,19.02,34.88,26.39,18.41,35.79,21.71,89.0,54.07,17.36,90.3,306.63,926.0,12.0,0.0,0.0,0.0,14.38,1.94,6.955724268,2012-08-15,2012,VERANO
AL41,16/08/2012,2.84,10.0,245.28,127.45,19.05,35.25,27.42,18.34,35.69,18.91,81.2,46.61,18.04,83.9,298.42,900.0,12.0,0.0,0.0,0.0,13.14,2.3,7.560500862,2012-08-16,2012,VERANO
AL41,17/08/2012,2.76,10.39,238.27,78.63,20.11,35.54,27.92,19.48,36.23,24.19,84.9,56.62,22.02,86.0,295.84,890.0,11.0,0.0,0.0,0.0,16.74,1.97,7.308660096,2012-08-17,2012,VERANO
AL41,18/08/2012,2.46,8.53,212.24,69.13,23.09,34.34,28.08,21.83,34.95,33.15,82.7,60.91,31.89,84.3,232.28,980.0,11.0,0.0,0.0,0.0,19.16,1.66,6.029505236,2012-08-18,2012,VERANO
AL41,19/08/2012,2.42,11.76,208.92,58.81,24.33,36.54,29.39,24.11,37.67,22.46,77.25,51.43,20.03,77.88,257.06,962.0,10.0,0.0,0.0,0.0,16.99,2.24,6.982727593,2012-08-19,2012,VERANO
AL41,20/08/2012,2.23,8.82,192.73,122.6,19.58,36.58,28.42,18.87,37.21,21.57,71.86,47.03,20.26,74.12,285.14,874.0,11.0,0.0,0.0,0.0,14.53,2.37,6.989857826,2012-08-20,2012,VERANO
AL41,21/08/2012,1.92,8.13,166.17,160.59,18.68,37.17,27.93,18.24,37.94,17.46,77.0,52.65,14.29,81.3,278.03,895.0,10.0,0.0,0.0,0.0,15.82,2.15,6.687078303,2012-08-21,2012,VERANO
AL41,22/08/2012,2.09,11.07,180.91,146.74,19.52,36.98,27.92,18.63,37.71,21.12,79.98,56.11,19.42,81.5,282.41,910.0,11.0,0.0,0.0,0.0,16.75,2.01,6.825879384,2012-08-22,2012,VERANO
AL41,23/08/2012,2.44,9.51,210.55,160.21,20.42,33.34,26.52,19.85,34.11,42.28,88.1,67.23,39.72,88.8,283.44,884.0,11.0,0.0,0.0,0.0,19.37,1.31,6.017321539,2012-08-23,2012,VERANO
AL41,24/08/2012,2.32,11.07,200.64,172.07,19.42,36.17,27.44,18.68,36.84,17.33,86.5,50.94,14.33,88.1,297.88,915.0,12.0,0.0,0.0,0.0,14.02,2.23,7.120975209,2012-08-24,2012,VERANO
AL41,25/08/2012,3.01,11.37,260.43,133.57,19.66,35.88,28.76,18.94,36.7,17.59,43.87,26.27,17.23,59.37,296.22,900.0,12.0,0.0,0.0,0.0,6.85,3.1,8.122493371,2012-08-25,2012,VERANO
AL41,26/08/2012,2.52,9.51,217.3,105.25,21.85,33.76,27.83,20.82,34.62,30.1,71.38,42.53,27.49,74.78,258.76,1054.0,12.0,0.0,0.0,0.0,13.41,2.25,6.404078466,2012-08-26,2012,VERANO
AL41,27/08/2012,2.4,9.6,206.99,160.19,19.5,32.25,25.77,18.77,32.93,43.29,82.0,65.84,41.13,83.3,282.58,967.0,11.0,0.0,0.0,0.0,18.45,1.28,5.825304625,2012-08-27,2012,VERANO
AL41,28/08/2012,2.21,10.39,191.21,167.37,19.02,34.31,26.59,18.17,34.88,27.7,87.5,61.95,23.63,88.8,281.52,879.0,11.0,0.0,0.0,0.0,17.63,1.59,6.254197708,2012-08-28,2012,VERANO
AL41,29/08/2012,2.21,9.02,191.21,152.94,20.77,32.6,26.22,20.21,33.37,39.2,87.0,66.03,36.58,88.6,280.04,879.0,11.0,0.0,0.0,0.0,18.7,1.34,5.788576317,2012-08-29,2012,VERANO
AL41,30/08/2012,2.74,12.15,236.9,111.93,18.12,34.37,25.71,17.56,35.29,21.52,84.0,60.65,18.28,86.9,274.67,884.0,10.0,0.0,0.0,0.0,16.35,1.57,6.880076217,2012-08-30,2012,VERANO
AL41,31/08/2012,3.41,11.96,294.34,68.76,21.77,28.23,24.13,21.39,29.14,41.51,84.5,64.0,38.79,86.1,232.65,1106.0,9.0,1.0,0.0,0.0,16.43,1.15,5.386095097,2012-08-31,2012,VERANO
AL41,01/09/2012,1.9,9.02,164.45,138.0,18.45,28.32,23.48,17.53,29.27,33.88,85.6,62.55,31.97,88.3,201.62,1234.0,10.0,0.0,0.0,0.0,15.43,1.16,4.375150525,2012-09-01,2012,VERANO
AL41,02/09/2012,2.48,8.33,214.2,93.01,18.35,25.46,21.99,17.56,26.25,36.9,70.78,52.6,34.81,73.89,149.21,1118.0,10.0,0.0,0.0,0.0,11.56,1.29,4.140451557,2012-09-02,2012,VERANO
AL41,03/09/2012,2.35,13.43,202.71,161.99,10.74,27.48,19.56,9.83,28.1,22.73,79.35,54.67,21.25,84.6,292.89,920.0,12.0,0.0,0.0,0.0,8.98,1.24,5.500029908,2012-09-03,2012,VERANO
AL41,04/09/2012,1.72,9.51,148.51,156.55,10.82,28.86,20.41,10.43,29.74,23.92,76.17,52.3,21.25,80.9,274.25,1033.0,11.0,0.0,0.0,0.0,9.15,1.38,5.00874712,2012-09-04,2012,VERANO
AL41,05/09/2012,2.18,9.21,188.78,100.54,15.11,29.03,22.01,14.58,29.51,31.88,76.2,56.32,30.22,81.1,272.13,1069.0,11.0,0.0,0.0,0.0,12.23,1.32,5.300508531,2012-09-05,2012,VERANO
AL41,06/09/2012,2.8,10.88,241.65,61.66,16.36,30.12,23.17,15.68,30.55,30.21,78.88,61.09,27.52,81.2,228.66,1023.0,10.0,0.0,0.0,0.0,14.6,1.25,5.551181342,2012-09-06,2012,VERANO
