,VVMED,VVMAX,RVIENTO,DVMED,TMIN,TMAX,TMED,TMINABS,TMAXABS,HRMIN,HRMAX,HRMED,HRMINABS,HRMAXABS,RADMED,RADMAX,HSOL,PREC,HORAS0,HORAS7,DEWPT,DPV,ETO_PM_FAO,AÑO,DIA,MES,ESTACION
301,0.4431636885245798,1.1722225974544926,0.44712960441252175,-0.1357272260081314,-0.9744708704256526,-0.8764179482209145,-0.8208328280567576,-0.9102297805053742,-0.8460520592439521,-0.4976363142071565,0.24719156882795487,-0.695798440292546,-0.5443059339292458,0.37492147327225667,-0.1487773520003695,-0.623521237789738,-0.22898259154107015,-0.12374697315172296,-0.16394919837951683,-0.10190454847546106,-1.1358816309273887,-0.4421840899031321,-0.5111918836953462,-1.342917826817691,0.256801197986586,-1.3308261386486389,INVIERNO
302,-1.2233056127190682,-1.2099816963887364,-1.2197284630087613,0.40428751760299353,-0.989669331535973,-0.832163037517484,-1.0917590746982084,-0.994128188862899,-0.8504132068750475,-0.3964161515181767,0.5208958254471414,0.19168924672499552,-0.3549052866671315,0.7202793016935313,-0.6527810080051293,0.9022113861997929,-0.655577624299371,-0.17172520649079262,-0.16394919837951683,1.4764955515008271,-0.9385968581423346,-0.7510834866445749,-0.9230677597154331,-1.342917826817691,0.37023873602028895,-1.3308261386486389,INVIERNO
303,0.24710847661356278,0.21134006207156325,0.24627256897140729,1.6530339521708302,0.021186649603566917,-0.571059064367245,-0.29933895446367603,-0.28464962616605743,-0.5218734186658719,-0.15090341648533226,-0.35860718582251133,-0.6008409099943726,-0.3371489759863084,-0.3056366003814308,-0.650756896936837,0.84035736090292,-0.22898259154107015,-0.1477360898212578,-0.16394919837951683,-0.5528760056115434,-0.5473153921186437,-0.2019290035486767,-0.49549492415764906,-1.342917826817691,0.4836762740539919,-1.3308261386486389,INVIERNO
304,0.798513760113299,0.48195595979165395,0.7983457200567303,1.9629910868657223,-0.2986143029260917,-0.5459812816353014,-0.2758482394369606,-0.2550750480808444,-0.5960129283944914,-0.744584796228497,-1.1605606577167284,-1.3247094678827545,-0.6345671798900974,-1.2279451539300097,-0.2925957700106053,-0.1781722556522533,-0.22898259154107015,-0.17172520649079262,-0.16394919837951683,-0.5528760056115434,-1.0438154036276968,0.14129254838625974,-0.2126677192755738,-1.342917826817691,0.5971138120876948,-1.3308261386486389,INVIERNO
305,0.8352741123466151,0.9408263950561546,0.8326729817634747,1.8197021937272206,0.4407275031697034,-0.1845661775572868,0.020134769899653127,0.48895907427345625,-0.19187991457966483,-0.3784693141619746,-2.355735911620509,-1.2604305242962985,-0.3105145099650736,-2.661180141878297,-0.6806924343152639,-0.24002628094912618,-0.22898259154107015,-0.17172520649079262,-0.16394919837951683,-0.5528760056115434,-0.6492458580575883,0.31290332435372764,-0.031614145836540465,-1.342917826817691,0.7105513501213977,-1.3308261386486389,INVIERNO
306,2.2199140464681757,1.3251794092093256,2.220941206242421,-1.6391157389625575,-0.09438498175616102,-0.3955145852436382,-0.16465885497717456,-0.04649644474302792,-0.37795554683972893,-0.364111844277013,-0.8804699684430936,-1.069054578618442,-0.2750018886034271,-0.9333752414530401,-0.2993072961844166,-0.0833294168637149,-0.22898259154107015,-0.17172520649079262,-0.16394919837951683,-0.5528760056115434,-0.7018551308002694,0.0726482379992724,0.06530748683404031,-1.342917826817691,0.8239888881551006,-1.3308261386486389,INVIERNO
307,-0.7576744844304016,-0.5181462709130275,-0.7550337962678777,0.1237353365883319,-1.179333460808513,-0.4028904036942095,-0.9069654498213806,-1.1446472257492188,-0.3837704103478558,-0.09849865140522189,0.612130577653537,0.553988746939564,-0.03529169441231348,0.750752051260114,-0.14899041632334775,-0.5596054116496361,-0.22898259154107015,-0.17172520649079262,-0.16394919837951683,1.4764955515008271,-0.5374511534793909,-0.7510834866445749,-0.6235220408130815,-1.342917826817691,0.9374264261888036,-1.3308261386486389,INVIERNO
308,-0.34105715911948953,-0.4397068802695233,-0.34537622680888147,-0.3440926559799313,-1.1302550968064369,-0.7038237964775363,-0.9758715472330792,-1.1340626399081952,-0.6890507445245234,0.2410555113741214,0.8858348342727235,0.8118349638261421,0.3042977473584306,1.0250067973593615,-0.1110649668332411,-0.5385750430486992,-0.22898259154107015,-0.17172520649079262,-0.16394919837951683,1.251009822932786,-0.48319784096350094,-0.8883721074185493,-0.6470675093176371,-1.342917826817691,1.0508639642225066,-1.3308261386486389,INVIERNO
309,0.014292912469229627,0.13682264096023428,0.011513816390160973,-1.1698416011313322,-1.2692576890445757,0.6105470514143455,-0.4355851016186251,-1.2235646525344972,0.5611449097227814,-1.5564997182230798,1.168662566112549,-0.25095893297264216,-1.4491379323728628,1.1062674628702491,-0.04469543022555461,0.2671767264852314,-0.22898259154107015,-0.17172520649079262,-0.16394919837951683,1.0255240943647448,-0.912292221770994,0.20993685877324667,0.22106447124536954,-1.342917826817691,1.1643015022562093,-1.3308261386486389,INVIERNO
310,0.24710847661356278,2.01936801640434,0.2428682124385069,2.4384113420645375,-1.189624085518626,-1.1301461029205824,-1.0870609316928652,-1.0763143848049639,-1.1716844156990638,-0.2198192719331481,-0.06300658867379037,-0.467169925036175,-0.28979881417077974,0.03972122803984384,-1.341191835547458,-0.2194082725168352,-1.9353627225742738,-0.17172520649079262,-0.16394919837951683,0.8000383657967036,-1.2657607730108829,-0.6309559434673471,-0.7552288477983049,-1.342917826817691,1.2777390402899123,-1.3308261386486389,INVIERNO
311,1.5704811570129307,2.8625914658220126,1.5653188772813815,2.401293613648508,-1.216696344371384,-1.3455200016772766,-1.1888540301419654,-1.286760856232373,-1.270537095337223,-0.8874416215838659,-2.2298319535756836,-1.5379986897832667,-0.8713179889677403,-2.1461906742030443,-0.663860352799992,0.3537723619008534,0.19761244121723073,-0.17172520649079262,-0.16394919837951683,0.8000383657967036,-2.0746283414296056,-0.39070085711289165,-0.303438503336567,-1.342917826817691,1.3911765783236152,-1.3308261386486389,INVIERNO
